date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-12-28,2.641131,-7.2993803,4.694771,-0.110353485
1928-12-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-30,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-31,2.7307036,-7.6472783,4.965351,-0.059848104
1929-01-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-02,3.054327,-8.851439,5.9009056,0.10420147
1929-01-03,2.195512,-4.681477,2.5472393,-0.84265196
1929-01-04,2.326135,-4.7130136,2.5023284,-1.0192769
1929-01-05,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-06,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-07,6.814819,-12.619783,7.1731234,-3.1527653
1929-01-08,2.5936298,-5.03226,2.6373374,-1.2404406
1929-01-09,2.7201123,-7.60651,4.9336867,-0.06567021
1929-01-10,2.210621,-4.6720834,2.5303988,-0.8706027
1929-01-11,2.4227848,-4.809778,2.5329213,-1.111593
1929-01-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-13,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-14,2.1947067,-4.6821785,2.5483072,-0.84106004
1929-01-15,4.6276293,-8.557374,4.705488,-2.2319577
1929-01-16,2.5781603,-7.0521717,4.5022993,-0.14758836
1929-01-17,2.1542456,-4.9700994,2.8360631,-0.6179742
1929-01-18,2.163087,-4.7436037,2.623687,-0.75708425
1929-01-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-20,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-21,2.157685,-4.7752185,2.6561763,-0.7302022
1929-01-22,2.2396524,-5.5867667,3.3457537,-0.4212895
1929-01-23,2.162179,-5.07905,2.930431,-0.5717784
1929-01-24,3.0201101,-5.6919193,3.0034604,-1.4892373
1929-01-25,2.8508968,-8.102052,5.3185496,0.0031583384
1929-01-26,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-27,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-01-28,2.8309855,-5.386898,2.8297725,-1.3859491
1929-01-29,2.2742677,-4.6794214,2.5012121,-0.9608326
1929-01-30,2.158678,-4.7678995,2.648846,-0.7359698
1929-01-31,2.4089594,-6.3704658,3.9691224,-0.25919333
1929-02-01,2.1553137,-4.7983103,2.6789055,-0.71307504
1929-02-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-03,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-04,3.2530093,-6.0849547,3.2317896,-1.6056404
1929-02-05,2.1844583,-4.693283,2.564049,-0.81929314
1929-02-06,3.3293896,-6.215353,3.3085632,-1.6423213
1929-02-07,8.36779,-15.523815,8.949753,-3.7887897
1929-02-08,3.854682,-7.14044,3.856275,-1.8865147
1929-02-09,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-10,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-11,3.3777194,-10.018311,6.806964,0.25299162
1929-02-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-13,2.3865552,-4.7697763,2.5182831,-1.079109
1929-02-14,2.6805255,-5.157771,2.7036781,-1.2966198
1929-02-15,5.867792,-10.853411,6.096985,-2.759854
1929-02-16,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-17,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-18,2.2100897,-4.672307,2.530903,-0.86967
1929-02-19,2.3266816,-4.713458,2.5024128,-1.0198524
1929-02-20,2.2472768,-5.626555,3.3776658,-0.41161466
1929-02-21,2.3806925,-6.25119,3.874702,-0.28065008
1929-02-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-23,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-24,2.2989497,-4.6932807,2.4999404,-0.9896153
1929-02-25,2.195662,-4.681345,2.54704,-0.84294903
1929-02-26,2.2116454,-4.6716886,2.5294566,-0.87236995
1929-02-27,2.4539046,-6.556361,4.1152706,-0.2270568
1929-02-28,2.565617,-7.0030723,4.46397,-0.15516645
1929-03-01,2.2854218,-5.8168993,3.5295172,-0.36770448
